Indicator ID,Indicator Name,Display Name,Dataset,Value Type Slug,Value Type Descriptor,Units,Rank 1,Category 1 - slug,Category 1.1,Category 1.2,Category 1.3,Category 1.4,Category 1.5,Rank 2,Category 2 - slug,Category 2.1,Category 2.2,Category 2.3,Category 2.4,Category 2.5,Rank 3,Category 3 - slug,Category 3.1,Category 3.2,Category 3.3,Category 3.4,Category 3.5,Rank 4,Category 4 - slug,Category 4.1,Category 4.2,Category 4.3,Category 4.4,Category 4.5
jul2017-innovation-001,Global Innovation Index,Global Innovation Index,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Global Innovation Index,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-002,Global Innovation Index,Global Innovation Index,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Global Innovation Index,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-003,Innovation Efficiency Ratio,Innovation Efficiency Ratio,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Innovation Efficiency Ratio,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-004,Innovation Efficiency Ratio,Innovation Efficiency Ratio,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Innovation Efficiency Ratio,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-005,Innovation Input Sub-index,Innovation Input Sub-index,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Innovation Input Sub-index,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-006,Innovation Input Sub-index,Innovation Input Sub-index,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Innovation Input Sub-index,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-007,Innovation Output Sub-index,Innovation Output Sub-index,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Innovation Output Sub-index,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-008,Innovation Output Sub-index,Innovation Output Sub-index,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Innovation Output Sub-index,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-009,1,Institutions,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-010,1,Institutions,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-011,1.1.,Political environment,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Political environment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-012,1.1.,Political environment,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Political environment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-013,1.1.1.,Political stability and absence of violence/terrorism,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Political stability and absence of violence/terrorism,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-014,1.1.2.,Government effectiveness,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Government effectiveness,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-015,1.2.,Regulatory environment,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Regulatory environment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-016,1.2.,Regulatory environment,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Regulatory environment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-017,1.2.1.,Regulatory quality,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Regulatory quality,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-018,1.2.2.,Rule of law,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Rule of law,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-019,1.2.3.,Cost of redundancy dismissal,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Cost of redundancy dismissal,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-020,1.3.,Business environment,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Business environment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-021,1.3.,Business environment,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Business environment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-022,1.3.1.,Ease of starting a business,Global Innovation Index,Distance to Frontier,Distance to Frontier,Distance to Frontier,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Ease of starting a business,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-023,1.3.2.,Ease of resolving insolvency,Global Innovation Index,Distance to Frontier,Distance to Frontier,Distance to Frontier,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Ease of resolving insolvency,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-024,1.3.3.,Ease of paying taxes,Global Innovation Index,Distance to Frontier,Distance to Frontier,Distance to Frontier,,,Innovation,Reform Progress,Global Innovation Pillars,Institutions,Ease of paying taxes,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-025,2,Human capital and research,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-026,2,Human capital and research,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-027,2.1.,Education,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Education,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-028,2.1.,Education,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Education,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-029,2.1.1.,Expenditure on education,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Expenditure on education,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-030,2.1.2.,"Government expenditure on education per pupil, secondary",Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,"Government expenditure on education per pupil, secondary",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-031,2.1.3.,School life expectancy,Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,School life expectancy,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-032,2.1.4.,"Assessment in reading, mathematics, and science",Global Innovation Index,Value,Value,Value,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,"Assessment in reading, mathematics, and science",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-033,2.1.5.,"Pupil-teacher ratio, secondary",Global Innovation Index,Ratio,Ratio,Ratio,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,"Pupil-teacher ratio, secondary",,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-034,2.2.,Tertiary education,Global Innovation Index,Index,Index,Index,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Tertiary education,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-035,2.2.,Tertiary education,Global Innovation Index,Rank,Rank,Rank,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Tertiary education,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-036,2.2.1.,Tertiary enrolment,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Tertiary enrolment,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-037,2.2.2.,Graduates in science and engineering,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Graduates in science and engineering,,,,,,,,,,,,,,,,,,,,,
jul2017-innovation-038,2.2.3.,Tertiary level inbound mobility,Global Innovation Index,Percent,Percent,Percent,,,Innovation,Reform Progress,Global Innovation Pillars,Human capital and research,Tertiary level inbound mobility,,,,,,,,,,,,,,,,,,,,,
